id,review,sentiScore_pos,sentiScore_neg,rating,past,sentiScore,title,dataSource,length_words,stopwords_removal,stemmed
11,Crash,1,-1,2,0,-1,Crashes,RE2014_app_and_play_store_apps,12,crash crash crash crash crash get it!!!!!,crash crash crash crash crash get it!!!!!
,Crash,,,,,,,,,,
,Crash,,,,,,,,,,
,Crash,,,,,,,,,,
,Crash,,,,,,,,,,
,Get it!!!!!,,,,,,,,,,
12,Was great It was great until apparently it updated on the 27th and now every time I try to use it I get a message the it has stopped working and it force closes! Please fix!,3,-1,3,4,3,,RE2014_app_and_play_store_apps,38,was great was great until apparently updated 27th now every time try to use get message has stopped working force closes! please fix!,was gre it was gre until ap it upd on the 27th and now every tim i try to us it i get a mess the it has stop work and it forc closes! plea fix!
13,"The white app icon is so atrocious, I'm hiding it away in a new folder that I'm naming 'Ugly Apps' It will be joined by Photos and iBooks Some other Apple bloat-ware apps, like Game Center, Newsstand, and Passbook could go in too, but they'll just stay in my 'Crap!' folder instead",2,-1,1,1,2,Yup It's ugly,RE2014_app_and_play_store_apps,77,"white app icon so atrocious, i'm hiding away new folder that i'm naming 'ugly apps' will be joined by photos ibooks some other apple bloat-ware apps, like game center, newsstand, passbook could go too, but they'll just stay 'crap!' folder instead","the whit ap icon is so atrocious, i'm hid it away in a new fold that i'm nam 'ugly apps' it wil be join by photo and ibook som oth appl bloat-ware apps, lik gam center, newsstand, and passbook could go in too, but they'll just stay in my 'crap!' fold instead"
14,Would like it to have more edit items..,1,-1,3,0,-1,,PlayStore_Random,8,would like to have more edit items,would lik it to hav mor edit items
15,This use to be a great app on iOS 5 Having iOS 7 and the latest version of ,3,-1,1,1,3,?? VERY BAD!??,RE2014_app_and_play_store_apps,43,this use to be great app ios 5 having ios 7 latest version of dropbox it's really bad new ui for viewing photos video needs improvement to return to way was,thi us to be a gre ap on io 5 hav io 7 and the latest vert of dropbox and it's real bad the new ui for view photo and video nee improv to return to the way it was
,,,,,,,,,,,
,Dropbox and it's really bad The new UI for viewing photos and video needs improvement to return to the way it was,,,,,,,,,,
16,"The app was awesome until the latest update  I lost a weeks worth of class notes, can't even open the program without it crashing unless I'm connected to wifi, and a complete notebook just disappeared after the password reset  Everything was great before the update, now nothing works",3,-1,1,6,3,Started out great,RE2014_app_and_play_store_apps,57,"app was awesome until latest update lost weeks worth of class notes, can't even open program without crashing unless i'm connected to wifi, complete notebook just disappeared after password reset everything was great before update, now nothing works","the ap was awesom until the latest upd i lost a week wor of class notes, can't ev op the program without it crash unless i'm connect to wifi, and a complet notebook just disappear aft the password reset every was gre bef the update, now noth work"
17,After the last update it crashes Please fix!,2,-1,1,0,2,Crash,RE2014_app_and_play_store_apps,9,after last update crashes please fix!,aft the last upd it crash plea fix!
18,"I liked very much the upgrade to pdfs (divisions and search) However, they aren't displaying anymore Fix it and it will be perfect",3,-1,3,1,3,PDF Problems,RE2014_app_and_play_store_apps,31,"liked very much upgrade to pdfs (divisions search) however, aren't displaying anymore fix will be perfect best wishes","i lik very much the upgrad to pdfs (divisions and search) however, they aren't display anym fix it and it wil be perfect best wish"
,Best wishes,,,,,,,,,,
19,Can't update your latest bug fix,1,-1,3,0,-1,problem,RE2014_app_and_play_store_apps,9,can't update latest bug fix,can't upd yo latest bug fix
20,It says error to collect calls and it won't let me up date anything it needs to be fixed,1,-1,2,1,-1,It won't let me sing with other people,AppStore_Random,20,says error to collect calls wont let date anything needs to be fixed,it say er to collect cal and it wont let me up dat any it nee to be fix
21,ok seriously this app would be great if the timing adjustments weren't so erratic. i've made the same exact video a million times and it keeps coming out with an extra 2 seconds here or a bit shorter there throwing off the entire video/audio sync,3,-1,3,2,3,,PlayStore_Random,48,ok seriously this app would be great if timing adjustments werent so erratic ive made same exact video million times keeps coming with extra 2 seconds here or bit shorter there throwing off entire videoaudio sync,ok sery thi ap would be gre if the tim adjust werent so erratic ive mad the sam exact video a mil tim and it keep com out with an ext 2 second her or a bit short ther throwing off the entir videoaudio synt
22,The update has been installing for a week,1,-1,1,1,-1,Dropbox update,RE2014_app_and_play_store_apps,8,update has been installing for week,the upd has been inst for a week
23,I love the app but it's annoying cause when I use the premade hats they come half out with the middle half of the hat gone so I can't make what I want easily.,3,-3,5,0,-3,Hats,AppStore_Random,37,love app but its annoying cause when use premade hats come half with middle half of hat gone so cant make what want easily,i lov the ap but its annoy cau when i us the premad hat they com half out with the middl half of the hat gon so i cant mak what i want easily
24,Effect Please fix some of your effect such as fattal because its become a different quality of picture when I want to save it Which means what I edit its not the same picture that I save Overall good Just on that part only,2,-3,4,0,-3,,RE2014_app_and_play_store_apps,44,effect please fix some of effect such as fattal because become different quality of picture when want to save which means what edit not same picture that save overall good just that part only,effect plea fix som of yo effect such as fat beca it becom a diff qual of pict when i want to sav it which mean what i edit it not the sam pict that i sav ov good just on that part on
25,It's really slow and it always glitches up when I try to delete a stauts or somthing and I can't figure out how to delete pics or make new albums no me gusta,1,-1,1,0,-1,Meh,AppStore_Random,35,its really slow always glitches when try to delete stauts or somthing cant figure how to delete pics or make new albums no gusta,its real slow and it alway glitch up when i try to delet a staut or som and i cant fig out how to delet pic or mak new alb no me gust
26,Can't use due to pop-up about push notifications Open iTunes and connect for notifications HATE IT!,1,-4,1,0,-4,Problems,RE2014_app_and_play_store_apps,20,can't use due to pop-up about push notifications open itunes connect for notifications hate it!,can't us due to pop-up about push not op itun and connect for not hat it!
27,Won't open. Keeps timing out.,1,-1,1,0,-1,Waste of time,AppStore_Random,19,wont open keeps timing out dont waste time till fix issues,wont open keep tim out dont wast yo tim til they fix the issues
,Don't waste your time till they fix the issues.,,,,,,,,,,
28,COME ON DROPBOX!!!! This is getting ridiculous! I've uninstalled and reinstalled and it's still stuck!,2,-3,1,3,-3,Still CAN'T UPLOAD VIDEOS!!!,RE2014_app_and_play_store_apps,37,come dropbox!!!! this getting ridiculous! i've uninstalled reinstalled it's still stuck! customer service said this update would fix it!,com on dropbox!!!! thi is get ridiculous! i've uninst and reinst and it's stil stuck! yo custom serv said thi upd would fix it!
,Your customer service said this update would fix it!,,,,,,,,,,
29,So frustrated. Not responsive or sluggish. Cannot modify the city from which I want to rent. I give up.,1,-3,1,1,-3,Just doesn't work,AppStore_Random,24,so frustrated not responsive or sluggish cannot modify city from which want to rent give up,so frustrated not respond or sluggish cannot mod the city from which i want to rent i giv up
30,Bookmarks do not work. Bookmark your favorite dispensary and it takes you to some other random place. The overall performance is buggy and crashes.,2,-1,2,0,2,Buggy,AppStore_Random,27,bookmarks do not work bookmark favorite dispensary takes to some other random place overall performance buggy crashes,bookmark do not work bookmark yo favorit disp and it tak you to som oth random place the ov perform is buggy and crashes
31,Recent upgrade is causing the app to crash on iPad Needs fixed I have tried to delete and reinstall but that didn't fix the problem,1,-2,1,2,-2,Upgrade causing crashing!,RE2014_app_and_play_store_apps,28,recent upgrade causing app to crash ipad needs fixed have tried to delete reinstall but that didn't fix problem,rec upgrad is cau the ap to crash on ipad nee fix i hav tri to delet and reinst but that didn't fix the problem
32,"I like Trip Advisor, but their app is slow and feels buggy",2,-1,3,0,2,"5? information, 1? app",RE2014_app_and_play_store_apps,40,"like trip advisor, but app slow feels buggy if have patience to navigate through its, um, 'quirks,' then can get to good info","i lik trip advisor, but their ap is slow and feel buggy if you hav the paty to navig through its, um, 'quirks,' then you can get to their good info"
,"If you have the patience to navigate through its, um, 'quirks,' then you can get to their good info",,,,,,,,,,
33,"Search doesn't work anymore After the update, the search function doesn't work It keeps putting 20's within the search so nothing comes up Please fix, otherwise the app is useless if I can't search for anything",2,-3,1,0,-3,,RE2014_app_and_play_store_apps,42,"search doesnt work anymore after update, search function doesnt work keeps putting 20s within search so nothing comes please fix, otherwise app useless if cant search for anything","search doesnt work anym aft the update, the search funct doesnt work it keep put 20s within the search so noth com up plea fix, otherw the ap is useless if i cant search for any"
34,Plz more backgrounds and frame,1,-1,4,1,-1,,PlayStore_Random,5,plz more backgrounds frame,plz mor background and fram
35,Did not work on my new iPhone 5s Only showed sliding logo's,1,-1,1,2,-1,iPhone 5s -( Really? )-,RE2014_app_and_play_store_apps,15,did not work new iphone 5s only showed sliding logo's,did not work on my new iphon 5s on show slid logo's
36,"Pretty good but glitches Wanted to use flight filters, but it wasn't applying them Had to start search over Haven't used it much yet",3,-1,4,3,3,Minor glitches,RE2014_app_and_play_store_apps,31,"pretty good but glitches wanted to use flight filters, but wasn't applying had to start search over haven't used much yet","pretty good but glitch want to us flight filters, but it wasn't apply them had to start search ov haven't us it much yet"
37,You need to improve the hebrew editing..,2,-1,3,0,2,,PlayStore_Random,7,need to improve hebrew editing,you nee to improv the hebrew editing
38,This app used to work so well...now it never works. Please fix. It keeps sending me warning messages.,2,-1,3,1,2,What happened??,AppStore_Random,23,this app used to work so wellnow never works please fix keeps sending warning messages,thi ap us to work so wellnow it nev works plea fix it keep send me warn messages
39,It seems like a cool app from what I have been able to see. It crashes everytime I get it open. The free app got me hooked which never crashed. Get this fixed please and I will resubmit a review.,2,-1,2,5,2,"Yeah it's cool,but....",AppStore_Random,44,seems like cool app from what have been able to see crashes everytime get open free app got hooked which never crashed get this fixed please will resubmit review,it seem lik a cool ap from what i hav been abl to see it crash everytim i get it open the fre ap got me hook which nev crashed get thi fix plea and i wil resubmit a review
40,I did the update and they made me change my password I logged in with my new password and ALL of my files are missing! And then I logged into my account through the website and no notes are there either This is great since midterms are next week and all of my notes are gone '(,3,-3,1,5,-3,So sad! (,RE2014_app_and_play_store_apps,61,did update made change password logged with new password all of files missing! then logged into account through website no notes there either this great since midterms next week all of notes gone '(,i did the upd and they mad me chang my password i log in with my new password and al of my fil ar missing! and then i log into my account through the websit and no not ar ther ei thi is gre sint midterm ar next week and al of my not ar gon '(
41,Needs Update! It still needs updates! Its a bit slow! I hope whatsapp fixes this problem! I know they are too busy but they have to take out time for us!,3,-3,4,0,-3,,RE2014_app_and_play_store_apps,36,needs update! still needs updates! bit slow! hope whatsapp fixes this problem! know too busy but have to take time for us!,nee update! it stil nee updates! it a bit slow! i hop whatsap fix thi problem! i know they ar too busy but they hav to tak out tim for us!
42,Keep up the good work but camera upload has stopped working for me No matter what I change no photos or videos will load,2,-1,4,2,2,Great new look  But,RE2014_app_and_play_store_apps,24,keep good work but camera upload has stopped working for no matter what change no photos or videos will load,keep up the good work but cam upload has stop work for me no mat what i chang no photo or video wil load
43,It is useful to check balance and do transfers but mobile deposit simply doesn't work it refuses to see my signature. I called support and their suggestions were set camera to highest quality and delete and reinstall app neither of which were any help. So now I am stuck mailing the 'For mobile deposit only' check to them hoping that  PNC bank by mail works a lot better than this app!,2,-1,1,4,2,Good luck with mobile deposit,AppStore_Random,76,useful to check balance do transfers but mobile deposit simply doesnt work refuses to see signature called support suggestions were set camera to highest quality delete reinstall app neither of which were any help so now stuck mailing for mobile deposit only check to hoping that pnc bank by mail works lot better than this app!,it is us to check bal and do transf but mobl deposit simply doesnt work it ref to see my signature i cal support and their suggest wer set cam to highest qual and delet and reinst ap nei of which wer any help so now i am stuck mail the for mobl deposit only check to them hop that pnc bank by mail work a lot bet than thi app!
44,I may give it a way better review when they fix it but EXPECT it to crash ll the time...about every 3-4 filters I downloaded & it then crashed. Frustrating. Once it FROZE and I had to delete & re-install. :-(,1,-3,1,3,-3,Crashes all the time,AppStore_Random,48,may give way better review when fix but expect to crash ll timeabout every 3-4 filters downloaded & then crashed frustrating once froze had to delete & re-install -(,i may giv it a way bet review when they fix it but expect it to crash ll the timeabout every 3-4 filt i download & it then crashed frustrating ont it froz and i had to delet & re-install -(
45,Worst Atleast reply and help   Worst since four days trying to register everytime they cut balnce for verification them send voice verification nd then fails that also  crap  negative star,1,-3,1,2,-3,,RE2014_app_and_play_store_apps,30,worst atleast reply help worst since four days trying to register everytime cut balnce for verification send voice verification nd then fails that also crap negative star,worst atleast reply and help worst sint four day try to reg everytim they cut balnt for ver them send voic ver nd then fail that also crap neg star
46,This latest update did nothing to stop crashes Completely unusable,1,-1,1,1,-1,Crashes,RE2014_app_and_play_store_apps,10,this latest update did nothing to stop crashes completely unusable,thi latest upd did noth to stop crash complet un
47,Loaded to my iTouch.  In it Everything is completely opposite - East reads as West.  North reads as South etc.  Don't get this app unless you want to get lost!!  Will proceed to Delete immediately.,2,-1,1,2,2,Just Awful,AppStore_Random,42,loaded to itouch everything completely opposite - east reads as west north reads as south etc dont get this app unless want to get lost!! will proceed to delete immediately,load to my itouch in it every is complet opposit - east read as west nor read as sou etc dont get thi ap unless you want to get lost!! wil process to delet immediately
48,Become very unstable and unsupported to my device Now a days it gives a big problem for my HTC desire V device  whenever someone or group chat text message me in marathi language or used in more smily in that  message that time whatsapp is directly closed and suddenly come back to the home screen and never open it,3,-2,1,4,3,,RE2014_app_and_play_store_apps,59,become very unstable unsupported to device now days gives big problem for htc desire v device whenever someone or group chat text message marathi language or used more smily that message that time whatsapp directly closed suddenly come back to home screen never open,becom very unst and unsupport to my dev now a day it giv a big problem for my htc desir v dev whenev someon or group chat text mess me in mara langu or us in mor smi in that mess that tim whatsap is direct clo and sud com back to the hom screen and nev op it
49,What the heck? Love the program BUT since you added the 'share this pin'  option I have been receiving spam that my friends did not send  My account was hacked too How about a fix???,3,-2,2,5,3,,RE2014_app_and_play_store_apps,40,what heck? love program but since added share this pin option have been receiving spam that friends did not send account was hacked too how about fix???,what the heck? lov the program but sint you ad the share thi pin opt i hav been receiv spam that my friend did not send my account was hack too how about a fix???
50,In theory it's great but once a PDF is selected it can be impossible to close it  I have resorted to tapping relentlessly on my screen so some magic will show the tools  The PDF just sits there  Way more effective to go through a browser  Really?  Irritating!,3,-3,2,2,-3,Buggy,RE2014_app_and_play_store_apps,53,theory it's great but once pdf selected can be impossible to close have resorted to tapping relentlessly screen so some magic will show tools pdf just sits there way more effective to go through browser really? irritating!,in the it's gre but ont a pdf is select it can be imposs to clo it i hav resort to tap relentless on my screen so som mag wil show the tool the pdf just sit ther way mor effect to go through a brow really? irritating!
51,Im a dude Im a dude and i love pinterest The app is little glitchie on Android and iPhone but its getting better,3,-1,5,0,3,,RE2014_app_and_play_store_apps,23,im dude im dude love pinterest app little glitchie android iphone but getting better,im a dud im a dud and i lov pinterest the ap is littl glitchy on android and iphon but it get bet
52,Doesn't work at all.  Want my .99 or an app that works!,1,-1,1,0,-1,Crashes every time I try to load 1000 songs!,AppStore_Random,15,doesnt work at all want 99 or app that works!,doesnt work at all want my 99 or an ap that works!
53,"I like this game a lot, play all the time cannot put down...however there is one issue, the game lags can you please fix. Thanks",2,-1,4,0,2,Good,AppStore_Random,31,"like this game lot, play all time cannot put downhowever there one issue, game lags can please fix thanks","i lik thi gam a lot, play al the tim cannot put downhowever ther is on issue, the gam lag can you plea fix thank"
54,Why did you remove open in option for music files?,1,-1,1,2,-1,Open in for music files?,RE2014_app_and_play_store_apps,26,why did remove open option for music files? used to be able to do this with sound files why??,why did you remov op in opt for mus files? i us to be abl to do thi with my sound fil why??
,I used to be able to do this with my sound files Why??,,,,,,,,,,
55,"I love pinning! I love pintrest and this app lets me use it anywhere The only problem I've had is that if i turn my phone sideways, the screen gets messed up and i have to exit out of the appplease fix!",3,-2,4,2,3,,RE2014_app_and_play_store_apps,46,"love pinning! love pintrest this app lets use anywhere only problem ive had that if turn phone sideways, screen gets messed have to exit of appplease fix!","i lov pinning! i lov pintrest and thi ap let me us it anywh the on problem ive had is that if i turn my phon sideways, the screen get mess up and i hav to exit out of the appplea fix!"
56,Can't easily share composition due to file type.,1,-1,1,0,-1,Don't like anymore,AppStore_Random,10,cant easily share composition due to file type,cant easy shar composit due to fil type
57,Use to be good until I cannot open any office documents,2,-1,1,0,2,Office documents,RE2014_app_and_play_store_apps,12,use to be good until cannot open any office documents,us to be good until i cannot op any off docu
58,Is been downloading for 2 days and still downloading,1,-1,1,1,-1,Still lost,AppStore_Random,9,been downloading for 2 days still downloading,is been download for 2 day and stil download
59,its problem is about not being allowed ur last online status,1,-2,3,1,-2,,RE2014_app_and_play_store_apps,11,problem about not being allowed ur last online status,it problem is about not being allow ur last onlin stat
60,Great app I love the new design but with the new update when you try to share a link to a specific file that has a space in the file name I have to manually replace the spaces with %20 so it will hyperlink correctly This used to not be a problem Please fix this ?? Other than that one problem this is a great app also I like the fact that if you download a picture from the app onto the iPhone it doesn't auto upload the picture so you have 2 copies of the same photo in the auto upload folder Thank you for that fix Keep up the great work??,3,-2,4,1,3,Great app but one problem with the new update,RE2014_app_and_play_store_apps,120,great app love new design but with new update when try to share link to specific file that has space file name have to manually replace spaces with %20 so will hyperlink correctly this used to not be problem please fix this ?? other than that one problem this great app also like fact that if download picture from app onto iphone doesn't auto upload picture so have 2 copies of same photo auto upload folder thank for that fix keep great work??,gre ap i lov the new design but with the new upd when you try to shar a link to a spec fil that has a spac in the fil nam i hav to man replac the spac with %20 so it wil hyperlink correct thi us to not be a problem plea fix thi ?? oth than that on problem thi is a gre ap also i lik the fact that if you download a pict from the ap onto the iphon it doesn't auto upload the pict so you hav 2 cop of the sam photo in the auto upload fold thank you for that fix keep up the gre work??
61,Crap. Doesn't work. Try something else. Don't waste your time!!!,2,-3,1,0,-3,Horrible App! Crap!,AppStore_Random,18,crap doesnt work try something else dont waste time!!!,crap doesnt work try some else dont wast yo time!!!
62,Crashes all the time!,1,-1,3,0,-1,,RE2014_app_and_play_store_apps,5,crashes all time!,crash al the time!
63,it is very important to add a landscape sheet orientation and Word Art (basic options at least),1,-1,4,0,-1,,PlayStore_Random,19,very important to add landscape sheet orientation word art (basic options at least),it is very import to ad a landscap sheet ory and word art (basic opt at least)
64,Used to be a good application with ability to search cities you haven't yet reached and filter by rating as well as proximity however those features have been replaced with functionality focused on marketing hotels,2,-1,1,5,2,Gets worse with every release,RE2014_app_and_play_store_apps,50,used to be good application with ability to search cities haven't yet reached filter by rating as well as proximity however those features have been replaced with functionality focused marketing hotels don't use this application purchase good guidebook instead,us to be a good apply with abl to search city you haven't yet reach and filt by rat as wel as proxim howev tho feat hav been replac with funct foc on market hotel don't us thi apply purcha a good guidebook instead
,,,,,,,,,,,
,Don't use this application purchase a good guidebook instead,,,,,,,,,,
65,Doesn't work for texting. You have to update ap or give instructions how it works for text. Just one star for trying. I'm a texting person. But this ap doesn't do that.,1,-1,1,0,-1,Not for texting,AppStore_Random,40,doesnt work for texting have to update ap or give instructions how works for text just one star for trying im texting person but this ap doesnt do that,doesnt work for texting you hav to upd ap or giv instruct how it work for text just on star for trying im a text person but thi ap doesnt do that
66,"I love having my nook on my iPad and I love having so many books always with me. Sometimes, though, I wish I could get certain books they don't have.",3,-1,5,0,3,Love!,AppStore_Random,35,"love having nook ipad love having so many books always with me sometimes, though, wish could get certain books dont have","i lov hav my nook on my ipad and i lov hav so many book alway with me sometimes, though, i wish i could get certain book they dont have"
67,"Good as an editor,but a little slow Yeah! It is good but a li'l bit slow ",2,-1,4,0,2,,RE2014_app_and_play_store_apps,19,"good as editor,but little slow yeah! good but lil bit slow","good as an editor,but a littl slow yeah! it is good but a lil bit slow"
68,This App Is Horrible. They Need To Update It x5. I Juss Got It And Its Taking Forever For The Features To Load. #TRASHHHH!,2,-4,1,1,-4,Wack Google Earth,AppStore_Random,29,this app horrible need to update x5 juss got taking forever for features to load #trashhhh!,thi ap is horrible they nee to upd it x5 i juss got it and it tak forev for the feat to load #trashhhh!
69,"As recently as last week, I used this as almost my central control for everything  After the latest upgrades, there were issues and now it crashes and I cannot access anything  I am left in a very difficult situation  Please fix it!",2,-1,1,3,2,"Was my fave app, now crashes and I can't access anything",RE2014_app_and_play_store_apps,46,"as recently as last week, used this as almost central control for everything after latest upgrades, there were issues now crashes cannot access anything left very difficult situation please fix it!","as rec as last week, i us thi as almost my cent control for every aft the latest upgrades, ther wer issu and now it crash and i cannot access any i am left in a very difficult situ plea fix it!"
70,"Great game Was at last able to download it. The game is very good, graphics are awesome, loved it a lot. App is really smooth. I just wish the upgrades were permanent and the customization was more like the original most wanted and free roam feature is there. Rest is perfect.",5,-1,4,5,5,,PlayStore_Random,58,"great game was at last able to download it game very good, graphics awesome, loved lot app really smooth just wish upgrades were permanent customization was more like original most wanted free roam feature there rest perfect","gre gam was at last abl to download it the gam is very good, graph ar awesome, lov it a lot ap is real smooth i just wish the upgrad wer perm and the custom was mor lik the origin most want and fre roam feat is there rest is perfect"
71,please fix it it's the most often used function for me,2,-1,1,0,2,Can't read cached PDF,RE2014_app_and_play_store_apps,14,please fix it's most often used function for,plea fix it it's the most oft us funct for me
72,I will give this app a much higher rating if you fix the Larimer County Fire and EMS...,1,-1,1,0,-1,Fix it!,AppStore_Random,19,will give this app much higher rating if fix larimer county fire ems,i wil giv thi ap a much high rat if you fix the larim county fir and ems
73,"Started with app not getting all notes Deleted and reinstalled app Fixed that Now when I select all notes, it opens to a specific note and freezes when I try to go back So here I am to try reinstalling again iPhone 5 ios7",1,-1,1,4,-1,Problems with this version,RE2014_app_and_play_store_apps,45,"started with app not getting all notes deleted reinstalled app fixed that now when select all notes, opens to specific note freezes when try to go back so here to try reinstalling again iphone 5 ios7","start with ap not get al not delet and reinst ap fix that now when i select al notes, it op to a spec not and freez when i try to go back so her i am to try reinst again iphon 5 ios7"
74,"I loved this app. I used it all the time, but after the update it won't get connected. And it crashes a lot. What's up with that?",4,-1,2,3,4,Needs a fix...,AppStore_Random,34,"loved this app used all time, but after update wont get connected crashes lot whats with that?","i lov thi app i us it al the time, but aft the upd it wont get connected and it crash a lot whats up with that?"
75,"Love the organization, features, and style, but the bugs make it impossible to use. The app isn't worth the money until the bugs are fixed.",3,-1,2,1,3,"Buggy, Worthless but Cool",AppStore_Random,31,"love organization, features, style, but bugs make impossible to use app isnt worth money until bugs fixed","lov the organization, features, and style, but the bug mak it imposs to use the ap isnt wor the money until the bug ar fixed"
76,Why did it update?? It logged me out and now it took all my books. I also haven't found how to buy books. Where is the store!?!? I need help...,2,-1,3,4,2,Why did it change??,AppStore_Random,40,why did update?? logged now took all books also havent found how to buy books where store!?!? need help,why did it update?? it log me out and now it took al my books i also havent found how to buy books wher is the store!?!? i nee help
77,"Great app but I wish I could move pins, from one board to another, in bulk instead of one by one When I edit my boards it takes too long to move one pin at a time Other than that I love the app",3,-1,4,0,3,,RE2014_app_and_play_store_apps,46,"great app but wish could move pins, from one board to another, bulk instead of one by one when edit boards takes too long to move one pin at time other than that love app","gre ap but i wish i could mov pins, from on board to another, in bulk instead of on by on when i edit my board it tak too long to mov on pin at a tim oth than that i lov the ap"
78,Not good Why i cannot clear chat history. Come on.  There is no option for clear history. Please fix that!,2,-1,2,0,2,,PlayStore_Random,25,not good why cannot clear chat history come on there no option for clear history please fix that!,not good why i cannot clear chat history com on ther is no opt for clear history plea fix that!
79,Has started having issues sending photos recently. I have to send a half dozen before one will go througj,1,-1,4,1,-1,Photo issues,AppStore_Random,20,has started having issues sending photos recently have to send half dozen before one will go througj,has start hav issu send photo recently i hav to send a half doz bef on wil go througj
80,"but i don't understand why we can't add a website even though it's an option also, it'll be cool to add videos!",2,-1,5,0,2,nice!,RE2014_app_and_play_store_apps,36,"but don't understand why can't add website even though it's option also, it'll be cool to add videos!","but i don't understand why we can't ad a websit ev though it's an opt also, it'll be cool to ad videos!"
